vi_index,model,n_predicted,loso_rmse_days,loso_r2
NDVI,baseline_no_gpp,160,34.188443884167214,0.04720511856702747
NDVI,total_gpp,160,28.8782034375458,0.3202001091479072
NDVI,split_gpp_pre_post,160,26.953603118980535,0.40779181440702084
NIRv,baseline_no_gpp,230,30.956046866692642,0.10401030537992517
NIRv,total_gpp,230,31.833960387244716,0.05246913283800192
NIRv,split_gpp_pre_post,230,26.117588793713605,0.3622092984007792
