site_id,lat,lon,sensor,date,NDVI,EVI,NIRv,valid_pixel_frac
BE-Dor,50.311874,4.968113,L30,2013-06-19,0.8491100427456165,0.7163167110743394,0.4033700095645707,0.06580635800146
BE-Dor,50.311874,4.968113,L30,2013-07-21,0.7131735651598022,0.5476782428134315,0.2831489120336267,1.0
BE-Dor,50.311874,4.968113,L30,2013-09-30,0.6790052529879722,0.47122841564435364,0.22983713158731942,1.0
BE-Dor,50.311874,4.968113,L30,2013-12-03,0.724338016334802,0.49740926162246957,0.2476416679828447,0.3938904784144446
BE-Dor,50.311874,4.968113,L30,2014-03-02,0.720310482834668,0.39702741037453165,0.1807614877036456,0.0357481675170268
BE-Dor,50.311874,4.968113,L30,2014-03-09,0.6595743161845804,0.4699247207224199,0.2279582855704432,1.0
BE-Dor,50.311874,4.968113,L30,2014-04-10,0.8098689630633042,0.6413223774137978,0.35212865533284804,0.0364149976648333
BE-Dor,50.311874,4.968113,L30,2014-05-05,0.7070864024210664,0.5407663476025568,0.28390224633514,1.0
BE-Dor,50.311874,4.968113,L30,2014-06-06,0.7915282456827285,0.6305798394319656,0.33653255262519804,1.0
BE-Dor,50.311874,4.968113,L30,2014-06-22,0.7697598043576951,0.6267325226182513,0.3375408577801167,1.0
BE-Dor,50.311874,4.968113,L30,2014-07-31,0.6550103147947293,0.4569382568652478,0.2238445471103062,1.0
BE-Dor,50.311874,4.968113,L30,2014-09-17,0.6612296988426273,0.4869361483855409,0.23969954778093827,1.0
BE-Dor,50.311874,4.968113,L30,2014-10-03,0.6832835216169195,0.4780353564904192,0.22766910895598488,1.0
BE-Dor,50.311874,4.968113,L30,2014-10-19,0.6168199345317356,0.4043605458869155,0.18452894843456258,0.0247346298420701
BE-Dor,50.311874,4.968113,L30,2014-11-29,0.7260362755380945,0.5165070789078022,0.24963223620769232,0.2012959041629448
BE-Dor,50.311874,4.968113,L30,2015-03-12,0.6294238823484956,0.3958915386730375,0.18579360250425453,1.0
BE-Dor,50.311874,4.968113,L30,2015-06-09,0.7692489479877211,0.6895950855409496,0.4036595039251678,0.0024711958320675
BE-Dor,50.311874,4.968113,L30,2015-07-11,0.6232019130946576,0.456904603042283,0.22060812660763246,1.0
BE-Dor,50.311874,4.968113,L30,2015-08-03,0.6486596537802375,0.46604855001394396,0.2292672159292545,1.0
