site_id,year,vi_index,EOS90,EOS50,EOS10,senescence_kinetic_i,leaf_out_90,temperature_senescence_rate,photoperiod_senescence_rate
BE-Dor,2020,NDVI,303.0,303.0,303.0,0.9939331475105734,203.11329535474704,,
BE-Dor,2020,NIRv,150.98991337930346,172.06667191294943,193.7832738565112,0.1007836500906283,94.2211154551004,0.06520643310178194,0.00016411670598580843
BE-Dor,2022,NIRv,138.76220920701053,160.00700366471784,193.9982766856636,0.0565404321399129,112.82467118740789,0.05608708513708512,0.008434710774382162
BE-Dor,2023,NIRv,158.42656590707182,166.97164153218893,175.54775962044968,0.256091453028315,106.6651692443608,-0.04009313725490197,0.008429235565589187
BE-Maa,2018,NDVI,140.47475549623056,171.84577506580976,240.4856571808061,0.0252767829388505,129.48319811432958,0.018732577257725782,-0.020248893376885072
BE-Maa,2018,NIRv,199.75853649575097,262.82486159071715,321.70123615471414,0.029702049915348,151.58273247992398,-0.141692437074757,-0.05941066082514884
BE-Maa,2022,NDVI,192.9862575230232,227.13793302576207,296.0697533540056,0.0200585371308594,157.04827562728212,-0.11763252427184467,-0.059000991194875015
BE-Maa,2022,NIRv,199.83076798524053,243.92909334401264,314.176077665612,0.0186748589385087,159.75529886720682,-0.10280460033141325,-0.06013557922261767
BE-Maa,2023,NDVI,,,,1.334637037052078,178.89222485148588,,
BE-Maa,2023,NIRv,276.33092901435685,278.19528060841344,278.8777475979676,0.407994830196178,151.6333442291219,,-0.06558553784365498
BE-Maa,2024,NDVI,201.820011361507,263.189553229843,304.2979567413938,0.0240121201308178,159.398530113903,-0.10609028906558893,-0.06102429763325593
BE-Maa,2024,NIRv,218.9469884006552,254.81701061064095,297.680448960107,0.0250158103916729,183.91322631417012,-0.1397709104186953,-0.06377527509085867
BE-Maa,2025,NDVI,206.430503397824,256.32943285952075,334.8308824074643,0.0127175078318471,161.01655524276913,-0.11922220918787768,-0.05811959177018606
BE-Maa,2025,NIRv,213.27465767161095,262.26364051416294,333.7854659082954,0.0179283843850165,166.6285662182076,-0.12909164872560594,-0.05888112251929508
CA-TP3,2023,NDVI,276.0066821237841,294.6774650963263,303.90701246322897,0.0993401250086767,159.2407244513621,-0.1059200244200244,-0.04642285355418941
CA-TP3,2023,NIRv,245.83768452544595,279.9795932455282,300.3704183835025,0.056643740456445,153.31582547599447,-0.18597373737373737,-0.04825215825055886
CN-HaM,2013,NDVI,237.0711641550006,269.76118127013245,302.0605074321237,0.0476406720174489,188.2289906482497,-0.1909895104895105,-0.039997062791724255
CN-HaM,2013,NIRv,234.5767083173443,260.21358971431624,290.0112268850831,0.0653745237875858,192.73014659561176,-0.16593380041011616,-0.040501375470650344
CN-HaM,2014,NDVI,240.74338413514263,271.2670041967744,295.1148794418389,0.0601955675580919,178.74758486631947,-0.17132373737373735,-0.04047695823869621
CN-HaM,2014,NIRv,234.93187208499705,259.95323321401884,285.77553907061593,0.072787114274486,187.7638916035118,-0.13662561085972852,-0.0406181781204743
DE-Gri,2015,NDVI,288.6593290394628,308.63184245730906,328.56110951003865,0.1099826047152875,113.77373007138534,-0.005291932457786134,-0.053814902275923754
DE-Gri,2015,NIRv,286.3239654139288,302.35295059339927,318.3793739367196,0.1370796359710058,111.81469297669952,0.21122580645161296,-0.05786211826792326
DE-Gri,2018,NIRv,150.48050280369395,166.43060806962276,185.1846435767548,0.1143337335301526,128.84937234701235,-0.12320784313725489,0.007108142917073869
DE-Gri,2019,NDVI,87.60286055103896,130.3648356108171,219.936552919456,0.0179202104237004,76.87671202263836,0.11800427856594993,0.017746443905037754
