vi_index,model,n_predictors,n_obs,n_sites,loglik,aic,bic
NDVI,A_environment_only,5,160,45,-759.7475079224517,1535.4950158449035,1560.096406366774
NDVI,B_environment_plus_leafout,6,160,45,-758.5445849947936,1535.0891699895872,1562.7657343266917
NDVI,C_environment_plus_splitgpp,7,160,45,-704.6151058942713,1429.2302117885426,1459.981949940881
NDVI,D_environment_plus_leafout_plus_splitgpp,8,160,45,-702.8346584218976,1427.6693168437953,1461.4962288113675
NIRv,A_environment_only,5,230,51,-1072.6924282715988,2161.3848565431977,2188.889491014583
NIRv,B_environment_plus_leafout,6,230,51,-1068.5370431028416,2155.074086205683,2186.016799985992
NIRv,C_environment_plus_splitgpp,7,230,51,-1011.4417154858811,2042.8834309717622,2077.2642240609944
NIRv,D_environment_plus_leafout_plus_splitgpp,8,230,51,-1010.3889173940468,2042.7778347880935,2080.5967071862488
