vi_index,model,n_params,loglik,aic,bic
NDVI,baseline_no_gpp,5,-768.4447948352525,1548.889589670505,1567.340632561908
NDVI,total_gpp,6,-739.3689793962336,1492.7379587924672,1514.264175499104
NDVI,split_gpp_pre_post,7,-722.9216599761738,1461.8433199523477,1486.4447104742183
NIRv,baseline_no_gpp,5,-1073.3452057197283,2158.6904114394565,2179.318887292996
NIRv,total_gpp,6,-1060.8241559891858,2135.6483119783716,2159.714867140834
NIRv,split_gpp_pre_post,7,-1023.1943361148433,2062.3886722296866,2089.893306701072
