site_id,year,n_growing_season_days,passed,failed_variables,GPP_NT_VUT_REF_frac_bad,GPP_NT_VUT_REF_max_consecutive_bad_days,NEE_VUT_REF_frac_bad,NEE_VUT_REF_max_consecutive_bad_days,RECO_NT_VUT_REF_frac_bad,RECO_NT_VUT_REF_max_consecutive_bad_days
CA-Ca3,2020,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ca3,2021,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ca3,2022,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ca3,2023,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Ca3,2024,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-Cbo,1996,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,1997,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,1998,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,1999,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2000,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2001,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2002,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2003,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2004,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2005,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2006,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2007,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2008,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2009,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2010,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2011,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2012,245,True,,0.0,0,0.0,0,0.0,0
CA-Cbo,2013,245,True,,0.0,0,0.0,0,0.0,0
