site_id,lat,lon,sensor,date,blue,green,red,nir,valid_pixel_frac
BE-Dor,50.311874,4.968113,L30,2013-06-19,0.02466253703576105,0.06611379452904294,0.03876476951698477,0.47505033418314624,0.06580635800146005
BE-Dor,50.311874,4.968113,L30,2013-07-21,0.03826211362059667,0.07357866156406304,0.06647180478913219,0.39702665082683064,1.0
BE-Dor,50.311874,4.968113,L30,2013-09-30,0.03657358223640958,0.07143381003985654,0.06471320797493435,0.33849094771493726,1.0
BE-Dor,50.311874,4.968113,L30,2013-12-03,0.030158268196940227,0.07175044031818022,0.05465588299623572,0.34188688484960084,0.3938904784144446
BE-Dor,50.311874,4.968113,L30,2014-03-02,0.022996857670979667,0.04721010034327964,0.04079956429891735,0.2509494058621601,0.03574816751702687
BE-Dor,50.311874,4.968113,L30,2014-03-09,0.04126407878807114,0.07658546075332935,0.07089526981377613,0.34561425449236205,1.0
BE-Dor,50.311874,4.968113,L30,2014-04-10,0.025598356369069857,0.06294019424729178,0.0456764661935002,0.4347970738388743,0.0364149976648333
BE-Dor,50.311874,4.968113,L30,2014-05-05,0.036955428242367624,0.08128124974494554,0.0688938369736239,0.401509978643427,1.0
BE-Dor,50.311874,4.968113,L30,2014-06-06,0.031005544547272404,0.06979185820323655,0.049474820101477746,0.425168090287067,1.0
BE-Dor,50.311874,4.968113,L30,2014-06-22,0.0345586729905097,0.07333564371250695,0.05704767367518964,0.4385015375825819,1.0
BE-Dor,50.311874,4.968113,L30,2014-07-31,0.03855651420824246,0.07423813168526487,0.07123669884511263,0.3417420184908933,1.0
BE-Dor,50.311874,4.968113,L30,2014-09-17,0.043258581850993745,0.0790457357135408,0.07392485932320979,0.3625057195714175,1.0
BE-Dor,50.311874,4.968113,L30,2014-10-03,0.039290528291791534,0.07229317179118623,0.06269263855700302,0.3331985943656735,1.0
BE-Dor,50.311874,4.968113,L30,2014-10-19,0.041774995417048585,0.07888403299725022,0.07090018331805684,0.2991617781851512,0.02473462984207018
BE-Dor,50.311874,4.968113,L30,2014-11-29,0.03616262107492003,0.07142515880524392,0.054573962697661856,0.34382887552371943,0.2012959041629448
BE-Dor,50.311874,4.968113,L30,2015-03-12,0.034384116785541013,0.06593024380954107,0.06713220126869837,0.29518041452609756,1.0
BE-Dor,50.311874,4.968113,L30,2015-06-09,0.03748330275229359,0.08460036697247711,0.06843889908256882,0.5247449541284405,0.0024711958320675063
BE-Dor,50.311874,4.968113,L30,2015-07-11,0.04796623076888197,0.08179590189579268,0.08217294879410168,0.35399141429484754,1.0
BE-Dor,50.311874,4.968113,L30,2015-08-03,0.041792702037262916,0.07537665694814119,0.07532204215996122,0.3534476278787166,1.0
BE-Dor,50.311874,4.968113,L30,2015-08-12,0.05797317015095956,0.09994540692413922,0.1093434830230011,0.3141693366350779,0.09521585555520289
